ticker,start,end,index_name
LHCG,2020-04-13,2023-02-23,SP400
LII,2014-09-30,2024-12-23,SP400
LITE,2018-04-04,2024-12-31,SP400
LIVN,2014-09-30,2024-12-31,SP400
LKQ,2014-09-30,2016-05-23,SP400
LM,2014-09-30,2020-08-03,SP400
LNCE,2016-02-25,2018-03-26,SP400
LNT,2014-09-30,2016-06-30,SP400
LNTH,2022-10-12,2024-12-31,SP400
LNW,2014-09-30,2024-12-31,SP400
LOGM,2017-02-02,2020-09-01,SP400
LOPE,2019-12-13,2024-12-31,SP400
LPNT,2014-09-30,2018-11-06,SP400
LPT,2014-09-30,2020-01-29,SP400
LPX,2014-09-30,2024-12-31,SP400
LSCC,2021-04-20,2024-12-31,SP400
LSI,2014-09-30,2023-07-24,SP400
LSTR,2014-09-30,2024-12-31,SP400
LTM,2014-09-30,2015-06-10,SP400
LW,2016-11-10,2024-12-31,SP400
LXK,2014-09-30,2016-11-28,SP400
LYV,2014-09-30,2019-12-13,SP400
M,2021-12-20,2024-12-31,SP400
MAC,2019-12-13,2023-06-19,SP400
MAN,2014-09-30,2024-12-31,SP400
MANH,2015-06-10,2024-12-31,SP400
MASI,2017-03-20,2024-12-31,SP400
MAT,2019-06-07,2024-12-31,SP400
MBFI,2016-07-29,2019-03-22,SP400
MCY,2014-09-30,2022-09-19,SP400
MD,2014-09-30,2020-11-13,SP400
MDP,2014-09-30,2020-04-27,SP400
MDR,2018-05-10,2019-09-23,SP400
MDRX,2014-09-30,2020-06-22,SP400
MDSO,2017-06-26,2019-10-24,SP400
MDU,2014-09-30,2024-10-11,SP400
MEDP,2020-09-21,2024-12-31,SP400
MENT,2014-09-30,2017-04-03,SP400
MIDD,2020-06-22,2024-12-31,SP400
MIK,2017-03-29,2019-09-23,SP400
MIME,2021-08-30,2022-05-19,SP400
MKSI,2017-11-22,2024-12-31,SP400
MKTX,2015-11-02,2019-07-01,SP400
MLI,2024-11-26,2024-12-31,SP400
MLKN,2014-09-30,2022-10-18,SP400
MMS,2014-09-30,2024-12-31,SP400
MNK,2017-07-26,2019-09-23,SP400
MODG,2014-09-30,2023-12-18,SP400
MOH,2014-09-30,2022-03-02,SP400
MORN,2023-09-18,2024-12-31,SP400
MP,2022-07-27,2024-09-23,SP400
MPW,2016-05-23,2024-03-18,SP400
MPWR,2016-09-02,2021-02-12,SP400
MRCY,2019-10-08,2023-08-21,SP400
